id,name,url,type_id
189,bdnews24,bdnews24.com,4
190,theage,theage.com.au,4
191,thetimes,thetimes.co.uk,4
192,bbc,bbc.co.uk/news/business/,4
193,theaustralian,theaustralian.com.a,4
194,pewresearch,pewresearch.or,4
195,suntimes,suntimes.co,4
196,dailytelegraph,dailytelegraph.com.au,4
197,mediamatters,mediamatters.org,4
198,reuters,uk.reuters.co,4
199,forbes,forbes.com,4
200,theverge,theverge.com,4
201,engadget,engadget.com,4
202,wiktionary,wiktionary.org,4
203,cambridge,cambridge.org,4
204,harvard,harvard.edu,4
205,infoplease,infoplease.com,4
206,wikipedia,simple.wikipedia.org,4
207,wikipedia,wikipedia.org,4
208,encyclopedia,encyclopedia.com,4
209,webopedia,webopedia.com,4
210,sciencedirect,sciencedirect.com,4
211,researchgate,researchgate.net,4
212,ted,ted.com,4
213,nature,nature.com,4
214,nationalgeographic,nationalgeographic.com,4
215,economist,economist.com,4
